ID_geno;ID_placette;Commentaires2022;Commentaires2023
Muscaris;Muscaris;;
RM01;RM01;;
RM02;RM02;;
RM03;RM03;;
RM04;RM04;;
RM05;RM05;;
RM06;RM06;;
RM08;RM08;nécroses jaunes bizarres;
RM09;RM09;RAB ++;RAB ++
RM10;RM10;;
RM11;RM11;RAB;rab + BR
RM12;RM12;RAB++;RAB ++
RM13;RM13;;
RM14;RM14;;
RM15;RM15;;
RM16;RM16;beaucoup nécroses;BR++
RM17;RM17;;
RM18;RM18;;
RM19;RM19;;RAB
RM20;RM20;beaucoup nécroses;RAB
RM21;RM21;RAB ++;RAB ++
RM22;RM22;;rab + BR
RM23;RM23;;
RM24;RM24;;RAB
RM25;RM25;;
RM26;RM26;RAB ++;RAB ++
RM27;RM27;;
RM28;RM28;RAB;RAB
RM29;RM29;beaucoup nécroses;BR, vig--
RM30;RM30;;
RM31;RM31;;RAB
RM32;RM32;;
RM33;RM33;;
RM34;RM34;;
RM35;RM35;RAB;RAB
RM36;RM36;;
RM37;RM37;RAB;RAB
RM38;RM38;RAB;RAB
RM39;RM39;;
RM40;RM40;RAB ++;RAB ++
RM41;RM41;;
RM42;RM42;;
RM43;RM43;;
RM44;RM44;RAB;
