ID_geno;Date;Poids 50b;TAVP;AT
Muscaris;08/08/2023;62;15,38;5,7
RM04;14/08/2023;85;9,1;3,4
RM06;14/08/2023;72;9,63;5
RM08;14/08/2023;64;11,35;7
RM10;14/08/2023;73;11,1;7,8
RM13;14/08/2023;53;12,1;5,2
RM18;14/08/2023;71;16,25;4
RM34;14/08/2023;58;11,3;5,2
RM39;14/08/2023;77;12,7;6,7
RM02;24/08/2023;56;15,7;4,5
RM04;24/08/2023;78;12,04;3
RM06;24/08/2023;69;11,22;3,7
RM08;24/08/2023;53;13,99;5,4
RM10;24/08/2023;57;13,75;5,55
RM14;24/08/2023;72;14,34;4,1
RM27;24/08/2023;55;15,03;2,85
RM32;24/08/2023;52;15,63;2,55
RM33;24/08/2023;89;12,42;3,7
RM34;24/08/2023;51;13,17;4,15
RM37;24/08/2023;65;15,54;4,25
RM39;24/08/2023;65;15,76;4,55
