ID_placette;ID_geno;etat_selection;date_elimination;commentaire
RR001;RR001;élim;déc-23;très faible vigueur, flétrissements, hyper précoce
RR002;RR002;basik;;
RR003;RR003;VATE;;
RR004;RR004;élim;janv-25;Indice composite : rdt moy <1kg
RR005;RR005;élim;janv-25;Indice composite : flétrissement
RR006;RR006;premium;;
RR007;RR007;élim;déc-23;coulure complète
RR008;RR008;élim;mars-25;< médiane Indice composite
RR009;RR009;basik;;bof
RR010;RR010;élim;janv-25;Indice composite : rdt moy <1kg
RR011;RR011;élim;déc-23;défoliations
RR012;RR012;élim;janv-25;Indice composite : flétrissement
RR013;RR013;premium;;à suivre encore 1 an
RR014;RR014;élim;déc-23;défoliations
RR015;RR015;élim;janv-25;Indice composite : rdt moy <1kg
RR016;RR016;basik;;
RR017;RR017;élim;mars-25;< médiane Indice composite
RR018;RR018;élim;mars-25;< médiane Indice composite
RR019;RR019;élim;janv-25;Indice composite : rdt moy <1kg
RR020;RR020;basik;;
RR021;RR021;élim;janv-25;Indice composite : rdt moy <1kg
RR022;RR022;élim;janv-25;Indice composite : flétrissement
RR023;RR023;élim;janv-25;< médiane Indice composite et en + très sensible à la mélanose
RR024;RR024;élim;janv-25;Indice composite : flétrissement
RR025;RR025;élim;mars-25;< médiane Indice composite
RR026;RR026;élim;mars-25;< médiane Indice composite
RR027;RR027;élim;mars-25;< médiane Indice composite
RR028;RR028;élim;janv-25;Indice composite : mildiou
RR029;RR029;élim;janv-25;Indice composite : rdt moy <1kg ET mldiou
RR030;RR030;VATE;;
RR031;RR031;élim;janv-25;Indice composite : rdt moy <1kg
RR032;RR032;élim;déc-23;défoliations, grappes à nu
RR033;RR033;élim;déc-23;défoliations, coulure, grappes à nu
RR034;RR034;élim;mars-25;< médiane Indice composite
RR035;RR035;élim;déc-24;baies rikiki, coulure, fletrissement, hyper précoce
RR036;RR036;élim;déc-23;défoliations, flétrissements, hyper précoce
RR037;RR037;premium;;
RR038;RR038;VATE;;
RR039;RR039;basik;;
RR040;RR040;élim;janv-25;Indice composite : rdt moy <1kg
RR041;RR041;élim;mars-25;< médiane Indice composite
RR042;RR042;basik;;
RR043;RR043;élim;déc-23;coulure ++, défoliations +++, flétrissements +
RR044;RR044;élim;déc-23;défoliations ++, nécroses, flétrissements
RR045;RR045;élim;oct-25;"était en niveau basik en 2025 ; éliminé fin 2025 car très hétérogène, et faciès d'enroulement sur les ceps 1,2,4"
RR046;RR046;élim;mars-25;< médiane Indice composite
RR047;RR047;élim;déc-23;"défoliations, teinturier + Rab ; mais possibilité d'être intéressant comme faible accumulateur de sucres"
RR048;RR048;élim;mars-25;< médiane Indice composite
RR049;RR049;élim;19/06/2025;peu de feuilles, tête d'hybride
RR050;RR050;élim;oct-25;à éliminer, vraiment tête d'hybride
RR051;RR051;;;
RR052;RR052;;;
RR053;RR053;;;
RR054;RR054;élim;déc-23;Rab
RR055;RR055;élim;déc-24;
RR056;RR056;élim;oct-25;rikiki 2024,  très jaune et faible. Tjr rikiki en 2025
RR057;RR057;;;
RR058;RR058;? ;;
RR059;RR059;génolow;;
RR060;RR060;<3 grB;;
RR061;RR061;élim;oct-25;90% du feuillage s'est desséché et tombé
RR062;RR062;élim;26/06/2025;pas de feuille, pas de grappe
RR063;RR063;élim;déc-24;coulure totale
RR064;RR064;élim;19/06/2025;inférieur à 3 grappes par pied
RR065;RR065;;;
RR066;RR066;;;
RR067;RR067;élim;oct-25;vraiment rachitik
RR068;RR068;élim;oct-25;
RR069;RR069;élim;déc-23;Rab
RR070;RR070;élim;19/06/2025;Très peu de feuillage, faible développement
RR071;RR071;?;;
RR072;RR072;élim;19/06/2025;difficulté d'établissement, défoliation précoce
RR073;RR073;élim;19/06/2025;vigueur faible
RR074;RR074;?;;juin 2025 présence BR sur rameau importante
RR075;RR075;;;
RR076;RR076;élim;19/06/2025;Boursouflé, 1 mort
RR077;RR077;;;
RR078;RR078;élim;déc-23;Rab
RR079;RR079;;;
RR080;RR080;;;
RR081;RR081;;;
RR082;RR082;élim;26/06/2025;pas de feuille
RR083;RR083;;;
RR084;RR084;;;
RR085;RR085;élim;26/06/2025;pas de feuille, non vigoureux
RR086;RR086;? ;;
RR087;RR087;?;;pas terrible
RR088;RR088;élim;déc-23;Rab
RR089;RR089;élim;26/06/2025;pas de grappe en 2025
RR090;RR090;génolow 2024;;
RR091;RR091;;;attention mildiou 
RR092;RR092;<3 tardif;;
RR093;RR093;;;
RR094;RR094;<3;;
RR095;RR095;;;
RR096;RR096;;;cep différent en 2025
RR097;RR097;<3 grB tardif;;
RR098;RR098;;;
RR099;RR099;élim;déc-24;Boursouflé, coulure, millerandage
RR100;RR100;;;
RR101;RR101;;;
RR102;RR102;;;
RR103;RR103;?;;très défolié fin 2025
RR104;RR104;élim;oct-25; été 2025 : peu de grappe/ oct 2025 : beaucoup de mildiou actif
RR105;RR105;génolow 2024;;
RR106;RR106;;;
RR107;RR107;;;
RR108;RR108;;;
RR109;RR109;<3 tardif;;
RR110;RR110;;;
RR111;RR111;élim;juin-25;2024 : peu de feuillage, à suivre quand même en 2025 et choisir. 2025 : éliminé
RR112;RR112;élim;oct-25;même si c'est un blanc il est vraiment trop rachitik
RR113;RR113;<3;;
RR114;RR114;élim;déc-23;rab
RR115;RR115;;;
RR116;RR116;;;
RR117;RR117;;;
RR118;RR118;;;
RR119;RR119;;;
RR120;RR120;;;
RR121;RR121;élim;déc-23;Rab
RR122;RR122;;;
RR123;RR123;;;
RR124;RR124;élim;26/06/2025;pas de baies, que de la rafle
RR125;RR125;;;
RR126;RR126;élim;mai-25;pour cause de bcp de Mildiou actif 2024. Moins de 3 grappes par cep en 2025
RR127;RR127;élim;déc-23;Rab
RR128;RR128;élim;26/06/2025;défoliation, flétrissement, pas de grappe
RR129;RR129;;;
RR130;RR130;?;;oct 25 il ne rest que 20% des feuilles !
RR131;RR131;élim;déc-23;Rab
RR132;RR132;;;
RR133;RR133;;;
RR134;RR134;;;
RR135;RR135;;;
RR136;RR136;;;
RR137;RR137;élim;déc-24;Rab et sensible au mildiou
RR138;RR138;;;
RR139;RR139;;;
RR140;RR140;<3 mignon;;
RR141;RR141;élim;26/06/2025;pas de feuille, pas de grappe
RR142;RR142;;;
RR143;RR143;;;
RR144;RR144;;;
RR145;RR145;élim;juin-25;Ceps stériles
RR146;RR146;;;
RR147;RR147;?;;pas bcpde grappe en 2025
RR148;RR148;;;
RR149;RR149;élim;juin-25;pas de grappe, défoliation
RR150;RR150;élim;déc-24;pour cause de coulure complète en 2024
RR151;RR151;élim;;jaunissement bizarre, effet bombe
RR152;RR152;;;
RR153;RR153;;;
RR154;RR154;élim;juin-25;Était noté RAB en 2023 mais pas si RAB que ça en 2024. Décider en 2025, mais peu de feuillage, tête d'hybride
RR155;RR155;élim;déc-23;Rab
RR156;RR156;;;
RR157;RR157;? ;;voir en 2026
RR158;RR158;;;
RR159;RR159;?;;Rabougri et pas beau (juin 2025), voir en 2026
RR160;RR160;?;;voir en 2026
RR161;RR161;;;
RR162;RR162;<3;;
RR163;RR163;;;
RR164;RR164;;;
RR165;RR165;;;
RR166;RR166;<3;;
RR167;RR167;;;
RR168;RR168;élim;juin-25;Était noté RAB en 2023 mais pas si RAB que ça en 2024. Feuillage boursouflé tout de même. Rabougri encore en 2025, éliminer
RR169;RR169;;;
RR170;RR170;? ;;voir en 2026
RR171;RR171;;;
RM01;RM01;élim;déc-23;Rab et 2 manquants
RM02;RM02;élim;juin-25;pas de feuille, pas de grappe
RM03;RM03;élim;juin-25;Était noté RAB en 2023 mais pas si RAB que ça en 2024. mais ya que 3 grappes, pas de grappe et défoliation
RM04;RM04;?;;Ceps stériles
RM05;RM05;élim;juin-25;Ceps stériles, pas de grappe
RM06;RM06;;;
RM08;RM08;;;
RM09;RM09;élim;déc-23;Rab
RM10;RM10;;;
RM11;RM11;élim;oct-25;juin 2025 présence BR sur rameau importante. Oct-25 : vraiment chétif et BR++
RM12;RM12;élim;déc-23;Rab
RM13;RM13;;;
RM14;RM14;;;
RM15;RM15;élim;juin-25;pas de grappe
RM16;RM16;;;
RM17;RM17;;;
RM18;RM18;;;
RM19;RM19;? ;;Rab mais suivi en 2024 quand même. Très peu de grappes
RM20;RM20;repéchage;;Rab mais suivi en 2024 quand même. Très peu de grappes. 2025 : correct
RM21;RM21;élim;déc-23;Rab
RM22;RM22;élim;déc-23;Rab et COULURE COMPLETE
RM23;RM23;;;
RM24;RM24;élim;déc-24;Rab mais suivi en 2024 quand même. Eliminé en 2025 : pas de feuilles, pas de grappes
RM25;RM25;élim;juin-25;pas de grappes
RM26;RM26;élim;déc-23;Rab
RM27;RM27;;;
RM28;RM28;élim;19/06/2025;"Rab mais suivi en 2024 quand même. BR+++ ; 2025 : BR +++, vigueur nulle"
RM29;RM29;élim;juin-25;BR++ et coulure. En stand by, coulure +++
RM30;RM30;;;
RM31;RM31;élim;déc-24;Pseudo rab boursouflé, pas de grappes
RM32;RM32;;;
RM33;RM33;élim;oct-25;feuilles brûlées. Oct 25 : hyper défolié
RM34;RM34;?;;feuillage louche, peu de feuille
RM35;RM35;élim;déc-23;Rab
RM36;RM36;;;beau feuillage mais pas de grappes ?
RM37;RM37;?;;oct 25: peu de vig
RM38;RM38;élim;juin-25;faible, défoliation
RM39;RM39;;;
RM40;RM40;élim;déc-23;Rab
RM41;RM41;?;;coulure ++, voir 2026
RM42;RM42;? ;;zéro grappes, voir 2026
RM43;RM43;;;coulure mais jolies grappes
RM44;RM44;élim;déc-23;(rab)àvoir2025 mais ya que 3 ceps alors on élimine
RH01;RH01;;;
RH02;RH02;;;
RH03;RH03;;;
RH04;RH04;;;
RH05;RH05;;;
Floreal_01;Floreal_01;Rogné;;
Floreal_02;Floreal_02;T-;;
Floreal_03;Floreal_03;T-;;
Floreal_04;Floreal_04;Guyot;;
Floreal_05;Floreal_05;Rogné;;
Floreal_06;Floreal_06;Guyot;;
Floreal_07;Floreal_07;T-;;
Floreal_08;Floreal_08;Rogné;;
Floreal_09;Floreal_09;Guyot;;
Floreal_10;Floreal_10;Rogné;;
Floreal_11;Floreal_11;Guyot;;
Floreal_12;Floreal_12;T-;;
Floreal_13;Floreal_13;;;
Floreal_14;Floreal_14;;;
Floreal_15;Floreal_15;;;
Vidoc_01;Vidoc_01;;;
Vidoc_02;Vidoc_02;;;
Vidoc_03;Vidoc_03;;;
Vidoc_04;Vidoc_04;;;
Vidoc_05;Vidoc_05;;;
