ID_geno;surnom
RR001;
RR002;
RR003;Le Grenache coloré
RR004;
RR005;
RR006;Génolow le tardif
RR007;No grape inside
RR008;
RR009;Puissant
RR010;
RR011;
RR012;Feuille épaisse
RR013;Bon élève
RR014;Gueule d'hybride
RR015;
RR016;
RR017;Bois violet
RR018;
RR019;
RR020;Feuille gondolée
RR021;
RR022;Bleu
RR023;Tacheté
RR024;Pruine fluo
RR025;
RR026;Mucron
RR027;
RR028;
RR029;Mucron bis
RR030;ACIDATOR, à baies argentées
RR031;Chimère - plages décolorées
RR032;Ridiculous
RR033;Cassure des nervures
RR034;Rafleux
RR035;
RR036;
RR037;Cassis
RR038;
RR039;Grappes alignées
RR040;
RR041;Marselan style
RR042;
RR043;Squelette
RR044;Feuille de counoise
RR045;Parasol citron
RR046;
RR047;Teinturier
RR048;Chevalier noir
RR049;
RR050;
RR051;
RR052;
RR053;
RR054;
RR055;
RR056;
RR057;
RR058;
RR059;
RR060;
RR061;
RR062;
RR063;
RR064;
RR065;
RR066;
RR067;
RR068;
RR069;
RR070;
RR071;
RR072;
RR073;
RR074;
RR075;
RR076;Ultra gaufré
RR077;
RR078;
RR079;
RR080;
RR081;
RR082;
RR083;
RR084;
RR085;
RR086;
RR087;
RR088;
RR089;
RR090;
RR091;
RR092;
RR093;
RR094;Mignon
RR095;
RR096;
RR097;
RR098;
RR099;
RR100;
RR101;
RR102;
RR103;
RR104;
RR105;
RR106;
RR107;
RR108;
RR109;
RR110;
RR111;
RR112;
RR113;
RR114;
RR115;
RR116;
RR117;
RR118;
RR119;
RR120;
RR121;
RR122;
RR123;
RR124;
RR125;
RR126;
RR127;
RR128;
RR129;
RR130;
RR131;
RR132;
RR133;
RR134;Feuillounette timidou
RR135;
RR136;
RR137;
RR138;
RR139;
RR140;
RR141;
RR142;
RR143;
RR144;
RR145;
RR146;
RR147;
RR148;
RR149;
RR150;
RR151;
RR152;
RR153;
RR154;
RR155;
Vidoc;
Floreal;
RM01;
RM02;
RM03;
RM04;
RM05;
RM06;
RM07;
RM08;
RM09;
RM10;
RM11;
RM12;
RM13;
RM14;
RM15;
RM16;
RM17;
RM18;
RM19;Feuille cloquée
RM20;
RM21;
RM22;
RM23;
RM24;
RM25;
RM26;
RM27;
RM28;
RM29;
RM30;
RM31;
RM32;
RM33;
RM34;
RM35;
RM36;
RM37;
RM38;
RM39;
RM40;
RM41;
RM42;
RM43;
RM44;
Muscaris;
Syrah;
Grenache;
RR156;Belle vigueur et peu de nécroses
RR157;Maigrichon
RR158;
RR159;
RR160;
RR161;
RR162;
RR163;
RR164;
RR165;
RR166;
RR167;
RR168;
RR169;
RR170;
RR171;
RH01;
RH02;
RH03;
RH04;
RH05;
Selenor B;
Opalor B;
Sirano N;
Lilaro N;
Coliris N;
Syrah;
Grenache;
Muscat PG;
