ID_geno;Millesime;Moda_oeno;acetique;lactique;malique;AT;IPT;IC;pH;TAVP
RR003;2023;;0,09;0,6;0,1;4,18;104;29,2;3,42;10,19
RR005;2023;;0,19;2,8;0;3,38;54;8,6;4,06;10,79
RR006;2023;;0,11;2,5;0;3,35;34;5;3,79;7,41
RR009;2023;;0,1;1;0;3,71;43;4,8;3,54;10,05
RR012;2023;;0,27;2,9;0;3,24;70;8,5;4,46;11,3
RR013;2023;;0,11;3,8;0,2;3,34;51;6,5;4,05;10,36
RR015;2023;;0,15;0,9;0,1;2,78;68;7,6;3,88;9,86
RR016;2023;;0,08;1,4;0;2,47;66;4,2;4,13;10,72
RR018;2023;;0,13;1,1;0;2,77;65;18,3;4;9,45
RR020;2023;;0,13;1,9;0;2,56;57;9,1;4,12;8,28
RR022;2023;;0,32;1,3;0;3,87;76;25,8;3,68;11,56
RR023;2023;;0,07;0,99;0,08;3,34;65;26,4;3,73;11,14
RR024;2023;;0,19;2,4;0,1;3,33;71;20,9;3,88;13,33
RR026;2023;;0,19;2,5;0,3;3,4;54;3,9;3,95;11,44
RR028;2023;;0,13;1,6;0,1;3,26;47;14,7;3,81;12,41
RR030;2023;;0,15;2,46;0,28;5,77;79;0;3,32;11,86
RR038;2023;;0,12;2,3;0,1;3,53;78;32,2;3,86;9,51
RR042;2023;;0,09;1,9;0;2,88;54;8,3;4;8,97
RR045;2023;;0,13;1,8;0;3,08;59;7,7;3,99;10,59
RR048;2023;;0,08;1,7;0;2,91;68;13,8;3,95;10,29
Floreal;2023;;0,28;0;1,2;2,73;;;3,77;12,67
Grenache;2023;;0,09;0,6;0;3,61;41;3,9;3,45;9,29
Muscaris;2023;;0,29;0,1;2,7;4,53;;;3,55;15,33
Syrah;2023;;0,14;2,5;0;2,76;67;11,9;4,24;10,64
Vidoc;2023;Standard;0,11;1,1;0;3,6;83;14,7;3,75;12,12
Vidoc;2023;MPF 5j puis FA phase liquide;0,15;1,4;0;3,47;27;3,3;3,73;12,15
