ID_geno;Millesime;Resu_DateAnalyse;Acide acétique;Acide lactique;Acide malique;Acidité totale;Dioxyde de carbone;Dioxyde de soufre libre;Dioxyde de soufre total;Ethanal;Glucose + Fructose;Indice de Polyphénols Totaux;Intensité colorante;pH;pH_manuel;SO2 Actif;Titre alcoométrique volumique
Floreal;2024;04/11/2024;0,43;0;0,8;3,4;;9;90;49;0;;;3,45;;0,3;12,42
Grenache;2024;27/11/2024;0,18;2,1;0,1;2,57;920;30;94;18;0,1;31;1,3;3,95;3,99;0,31;10,93
Lilaro;2024;27/11/2024;0,21;1,2;0,2;2,48;260;21;98;47;0,3;44;3,6;3,98;4,02;0,23;13,71
Opalor;2024;04/11/2024;0,16;0;1,4;2,38;;26;92;25;0,6;;;3,77;;0,44;12,51
RM30;2024;17/10/2024;0,45;0;0,8;4,28;;4;60;40;0,6;;;3,12;;0,27;14,06
RR003;2024;27/11/2024;0,31;1,5;0,1;2,65;510;51;71;1;0,7;71;12,3;3,94;4,17;0,55;11,27
RR006;2024;27/11/2024;0,15;2,3;0,1;2,85;1000;30;62;9;0,4;31;3;3,87;3,88;0,36;10,44
RR015;2024;27/11/2024;0,36;2,6;0,2;2,07;330;40;152;53;0,4;50;2,4;4,64;4,51;0,09;12,19
RR028;2024;27/11/2024;0,26;2,2;0,2;2,58;1060;31;73;24;0;48;7,7;4,13;4,11;0,23;13,01
RR030;2024;27/11/2024;0,28;2,1;0,2;3,99;390;29;103;39;0;34;10,7;3,51;3,55;0,82;11,14
RR037;2024;27/11/2024;0,37;2;0;2,58;470;52;76;3;0;69;10,9;4,39;4,33;0,2;11,42
RR041;2024;27/11/2024;0,21;1,3;0;2,45;150;27;92;42;0,5;52;7,5;4,1;4,16;0,2;11,23
RR051;2024;27/11/2024;0,16;1,6;0,1;2,87;340;32;69;14;0,2;70;17,4;3,93;4,01;0,35;11,43
RR060;2024;27/11/2024;0,11;1,4;0;2,88;1050;30;63;10;0;34;5;3,86;3,87;0,42;12,53
RR074;2024;27/11/2024;0,33;1,2;0,7;2,51;590;50;86;8;0,1;83;10,7;4,08;4,04;0,42;13,37
RR080;2024;27/11/2024;0,26;1,5;0,7;2,67;320;34;86;35;0,1;83;16,8;3,91;3,94;0,42;12,69
RR083;2024;27/11/2024;0,14;1,4;0,1;2,4;950;27;68;15;0;29;2;3,79;3,79;0,39;10,33
RR084;2024;27/11/2024;0,2;2,2;0;2,61;390;22;124;41;0;48;3,5;4,45;4,28;0,08;12,19
RR086;2024;27/11/2024;0,27;1,6;0,2;2,52;870;39;60;7;0;56;13,5;3,99;3,92;0,37;11,27
RR087;2024;27/11/2024;0,17;2,4;1,1;2,68;870;32;53;16;0,1;89;21,3;4,36;4,19;0,14;13,25
Vidoc;2024;27/11/2024;0,12;2;0;3,01;1250;30;77;13;0;59;9,2;3,95;4;0,32;11,59
RR092;2024;27/11/2024;0,31;2,6;0;2,59;880;43;80;0;0;56;4,9;4,38;4,24;0,17;11,56
RR101;2024;27/11/2024;0,21;1,3;0,2;2,39;220;12;69;44;0,2;54;7;4,22;4,24;0,08;13,39
RR102;2024;27/11/2024;0,12;0,9;0,1;2,58;620;32;64;8;0;44;5,6;3,77;3,88;0,5;11,39
RR104;2024;27/11/2024;0,13;1,8;0;2,8;450;34;83;29;0;52;11,3;3,91;3,99;0,38;11,14
RR106;2024;27/11/2024;0,2;2,2;0;2,27;760;32;85;23;0;49;4,5;4,38;4,3;0,13;12,28
RR108;2024;27/11/2024;0,27;1,4;0,1;1,89;490;21;61;37;0;71;16,3;4,46;4,49;0,08;13,64
