ID_geno;Millesime;Date_analyse;TAV (%vol);pH;AT;Acide acétique;Indice de Polyphénols Totaux;Intensité colorante
RR002;2025;16/12/2025;11,42;3,85;2,72;0,31;6,2;44
RR003;2025;16/12/2025;13,14;3,98;2,75;0,3;13,6;87
RR030;2025;04/12/2025;11,73;3,57;4,12;0,37;19,8;54
RR038;2025;16/12/2025;10,06;4,2;3,58;1,22;22;70
RR060;2025;04/12/2025;12,27;3,9;2,99;0,32;6;32
RR092;2025;16/12/2025;10,76;4,29;2,34;0,32;6,6;58
RR097;2025;16/12/2025;12,26;3,92;2,67;0,33;4,6;30
RR109;2025;04/12/2025;11,12;4,07;2,71;0,21;5,1;55
RR140;2025;04/12/2025;10,31;3,94;3,07;0,55;21;74
RR162;2025;04/12/2025;11,56;3,25;3,78;;;
