Vin;Appréciation moyenne;Etoiles
RR109;2,666666667;1
RR060;2,769230769;1
RR140;2,85;1
RR083;3,384615385;1
RR015;3,423076923;1
RR122;3,8;1
RR147;4,1;2
RR028;4,269230769;2
RR041;4,307692308;2
RR106;4,444444444;2
RR117;4,444444444;2
RR006;4,461538462;2
RR080;4,538461538;2
RR123;4,8;2
RR074;4,884615385;2
RR110;4,888888889;2
RR138;4,9;3
RR030;4,923076923;3
RR084;4,923076923;3
RR119;4,95;3
RR143;4,95;3
RR151;5,05;3
RR104;5,111111111;3
RR108;5,222222222;3
RR141;5,35;3
RR102;5,388888889;3
Vidoc;5,5;3
RR101;5,555555556;3
RR051;5,576923077;4
Grenache;5,653846154;4
RR116;5,666666667;4
RR139;5,75;4
RR092;5,833333333;4
RR133;6;4
RR153;6,15;5
RR037;6,153846154;5
RR113;6,277777778;5
RR003;6,461538462;5
RR152;6,5;5
Syrah;6,777777778;5
RR087;7,055555556;5
RR086;7,111111111;5
