ID_placette;Coulure;Millerandage
Floreal_01;8;9
Floreal_02;8;8
Floreal_03;7;9
Grenache_07;8;9
Grenache_08;6;9
Grenache_09;6;9
Grenache_10;7;9
Grenache_11;7;9
Grenache_12;8;9
RR001;6;9
RR002;6;9
RR003;8;9
RR004;4;9
RR005;8;9
RR006;8;9
RR007;3;9
RR008;7;9
RR009;5;9
RR010;5;9
RR011;8;9
RR012;6;9
RR013;7;9
RR014;5;9
RR015;7;9
RR016;7;9
RR017;7;9
RR018;8;9
RR019;6;9
RR020;7;7
RR021;7;9
RR022;7;9
RR023;7;9
RR024;7;9
RR025;7;6
RR026;7;6
RR027;6;7
RR028;8;8
RR029;4;4
RR030;8;8
RR031;6;9
RR032;6;9
RR033;2;8
RR034;3;9
RR035;4;9
RR036;6;9
RR037;8;9
RR038;7;9
RR039;8;8
RR040;6;9
RR041;8;9
RR042;8;9
RR043;3;9
RR044;7;9
RR045;8;9
RR046;7;9
RR047;8;9
RR048;9;9
Syrah_07;8;9
Syrah_08;7;9
Syrah_09;8;9
Syrah_10;9;9
Syrah_11;7;9
Syrah_12;8;8
Vidoc_01;8;9
Vidoc_02;7;5
Vidoc_03;9;9
