"ID_placette";"%";"Defoliation_aout22_QT"
"Syrah_07";10;"2"
"Syrah_08";15;"4"
"Syrah_09";10;"2"
"Syrah_10";15;"4"
"Syrah_11";10;"2"
"Syrah_12";5;"1"
"Grenache_07";15;"4"
"Grenache_08";15;"4"
"Grenache_09";20;"5"
"Grenache_10";25;"5"
"Grenache_11";20;"5"
"Grenache_12";20;"5"
"Floreal_02";2;"1"
"RR026";5;"1"
"RR025";2;"1"
"RR024";2;"1"
"RR023";5;"1"
"RR022";15;"4"
"RR021";30;"5"
"RR020";20;"5"
"RR019";10;"2"
"RR018";15;"4"
"RR017";30;"5"
"RR016";10;"2"
"RR015";10;"2"
"RR014";10;"2"
"RR013";15;"4"
"RR012";20;"5"
"RR011";15;"4"
"RR010";20;"5"
"Vidoc_01";30;"5"
"RR009";15;"4"
"RR008";20;"5"
"RR007";15;"4"
"RR006";30;"5"
"RR005";30;"5"
"RR004";25;"5"
"RR003";25;"5"
"RR002";20;"5"
"RR001";15;"4"
"Floreal_01";15;"4"
"Vidoc_02";5;"1"
"RR027";2;"1"
"RR028";2;"1"
"RR029";2;"1"
"RR030";10;"2"
"RR031";15;"4"
"RR032";15;"4"
"RR033";15;"4"
"RR034";10;"2"
"RR035";15;"4"
"RR036";15;"4"
"RR037";10;"2"
"Floreal_03";5;"1"
"RR038";10;"2"
"RR039";20;"5"
"RR040";25;"5"
"RR041";20;"5"
"RR042";20;"5"
"RR043";10;"2"
"RR044";20;"5"
"RR045";15;"4"
"RR046";20;"5"
"RR047";15;"4"
"RR048";25;"5"
"Vidoc_03";20;"5"
