ID_placette;Regonflement2022
Grenache_08;oui
Grenache_11;oui
Syrah_08;vendange trop précoce, on ne peut pas dire
Syrah_11;vendange trop précoce, on ne peut pas dire
Floreal_01;vendange trop précoce, on ne peut pas dire
Floreal_02;vendange trop précoce, on ne peut pas dire
Floreal_03;vendange trop précoce, on ne peut pas dire
RR001;vendange trop précoce, on ne peut pas dire
RR002;oui
RR003;oui
RR004;non
RR005;oui
RR006;oui
RR007;pas de raisin, on ne peut pas dire
RR008;vendange trop précoce, on ne peut pas dire
RR009;oui
RR010;vendange trop précoce, on ne peut pas dire
RR011;vendange trop précoce, on ne peut pas dire
RR012;vendange trop précoce, on ne peut pas dire
RR013;non
RR014;vendange trop précoce, on ne peut pas dire
RR015;vendange trop précoce, on ne peut pas dire
RR016;oui
RR017;vendange trop précoce, on ne peut pas dire
RR018;vendange trop précoce, on ne peut pas dire
RR019;non (baies rikiki !)
RR020;oui
RR021;vendange trop précoce, on ne peut pas dire
RR022;oui
RR023;oui
RR024;vendange trop précoce, on ne peut pas dire
RR025;difficile à dire
RR026;vendange trop précoce, on ne peut pas dire
RR027;difficile à dire
RR028;non
RR029;vendange trop précoce, on ne peut pas dire
RR030;oui
RR031;vendange trop précoce, on ne peut pas dire
RR032;vendange trop précoce, on ne peut pas dire
RR033;vendange trop précoce, on ne peut pas dire
RR034;oui légèrement mais baies rikiki
RR035;vendange trop précoce, on ne peut pas dire
RR036;vendange trop précoce, on ne peut pas dire
RR037;oui
RR038;oui (grosses baies !)
RR039;vendange trop précoce, on ne peut pas dire
RR040;vendange trop précoce, on ne peut pas dire
RR041;difficile à dire, baies rikiki
RR042;non
RR043;vendange trop précoce, on ne peut pas dire
RR044;vendange trop précoce, on ne peut pas dire
RR045;vendange trop précoce, on ne peut pas dire
RR046;non
RR047;oui
RR048;oui
Vidoc_01;oui
Vidoc_02;oui
Vidoc_03;oui
