ID_placette;MERE;PERE;TOUFFU
Syrah_15;;;3
Grenache_01;;;3
Floreal_02;;;2
RR026;Syrah;D03-PL2;4
RR025;Syrah;D03-PL2;3
RR024;Syrah;D03-PL2;3
RR023;Syrah;D03-PL2;4
RR022;Syrah;D03-PL2;4
RR021;Syrah;D03-PL2;3
RR020;Syrah;D03-PL2;4
RR019;Syrah;D03-PL2;3
RR018;Syrah;D03-PL2;3
RR017;Syrah;D03-PL2;4
RR016;Syrah;D03-PL2;4
RR015;Syrah;D03-PL2;3
RR014;Syrah;D03-PL2;4
RR013;Syrah;D03-PL2;3
RR012;Syrah;D03-PL2;4
RR011;Syrah;D03-PL2;3
RR010;Syrah;D03-PL2;4
Vidoc_01;;;2
RR009;Grenache;D03-PL2;4
RR008;Grenache;D03-PL2;4
RR007;Grenache;D03-PL2;4
RR006;Grenache;D03-PL2;4
RR005;Grenache;D03-PL2;3
RR004;Grenache;D03-PL2;3
RR003;Grenache;D03-PL2;3
RR002;Grenache;D03-PL2;4
RR001;Grenache;Col 48#29;3
Floreal_01;;;4
Vidoc_02;;;2
RR027;Syrah;D03-PL2;4
RR028;Syrah;D03-PL2;4
RR029;Syrah;D03-PL2;4
RR030;Syrah;D03-PL2;3
RR031;Syrah;D03-PL2;3
RR032;Syrah;D03-PL2;3
RR033;Syrah;D03-PL2;3
RR034;Syrah;D03-PL2;3
RR035;Syrah;D03-PL2;3
RR036;Syrah;D03-PL2;3
RR037;Syrah;D03-PL2;3
Floreal_03;;;3
RR038;Syrah;D04-PL4;3
RR039;Syrah;D04-PL4;4
RR040;Syrah;D04-PL4;5
RR041;Syrah;D04-PL4;4
RR042;Syrah;D04-PL4;3
RR043;Syrah;D04-PL4;3
RR044;Syrah;D04-PL4;3
RR045;Syrah;D04-PL4;4
RR046;Syrah;D04-PL4;3
RR047;Syrah;D04-PL4;2
RR048;Syrah;D04-PL4;5
Vidoc_03;;;2
