"placette";"moyLAIp";"ID_placette";"moyLAIp_QT"
"Floreal_01";1,563683333;"Floreal_01";"2"
"Floreal_02";2,111075667;"Floreal_02";"5"
"Floreal_03";1,494913;"Floreal_03";"2"
"Grenache_07";1,328579667;"Grenache_07";"2"
"Grenache_08";1,202701;"Grenache_08";"1"
"Grenache_09";1,105281;"Grenache_09";"1"
"Grenache_10";1,175625333;"Grenache_10";"1"
"Grenache_11";1,143952333;"Grenache_11";"1"
"Grenache_12";1,164726;"Grenache_12";"1"
"RR001";1,554284;"RR001";"2"
"RR002";1,880169667;"RR002";"4"
"RR003";1,112555667;"RR003";"1"
"RR004";1,234023;"RR004";"1"
"RR005";1,016984667;"RR005";"1"
"RR006";1,728815667;"RR006";"3"
"RR007";2,270799667;"RR007";"5"
"RR008";1,472131333;"RR008";"2"
"RR009";2,009066333;"RR009";"4"
"RR010";1,784034333;"RR010";"3"
"RR011";1,974442667;"RR011";"4"
"RR012";1,548273667;"RR012";"2"
"RR013";1,728427;"RR013";"3"
"RR014";1,739141;"RR014";"3"
"RR015";1,762957667;"RR015";"3"
"RR016";1,919068667;"RR016";"4"
"RR017";1,790789333;"RR017";"3"
"RR018";1,375811333;"RR018";"2"
"RR019";2,603087667;"RR019";"5"
"RR020";1,815463333;"RR020";"4"
"RR021";1,100027333;"RR021";"1"
"RR022";2,169219667;"RR022";"5"
"RR023";2,239955333;"RR023";"5"
"RR024";2,539442;"RR024";"5"
"RR025";2,901101667;"RR025";"5"
"RR026";2,700994333;"RR026";"5"
"RR027";2,738759333;"RR027";"5"
"RR028";2,223034;"RR028";"5"
"RR029";2,606635333;"RR029";"5"
"RR030";2,426545667;"RR030";"5"
"RR031";1,596866667;"RR031";"3"
"RR032";1,426970667;"RR032";"2"
"RR033";1,656701333;"RR033";"3"
"RR034";1,740649667;"RR034";"3"
"RR035";1,586292;"RR035";"2"
"RR036";1,515307333;"RR036";"2"
"RR037";1,892292667;"RR037";"4"
"RR038";1,855139667;"RR038";"4"
"RR039";1,569101667;"RR039";"2"
"RR040";2,521414333;"RR040";"5"
"RR041";2,004458333;"RR041";"4"
"RR042";1,984270667;"RR042";"4"
"RR043";1,726526;"RR043";"3"
"RR044";1,66393;"RR044";"3"
"RR045";2,032991;"RR045";"4"
"RR046";2,037026667;"RR046";"4"
"RR047";1,071977667;"RR047";"1"
"RR048";1,526843667;"RR048";"2"
"Syrah_07";2,099457;"Syrah_07";"5"
"Syrah_08";1,588474333;"Syrah_08";"2"
"Syrah_09";1,641509;"Syrah_09";"3"
"Syrah_10";1,702374;"Syrah_10";"3"
"Syrah_11";2,013738;"Syrah_11";"4"
"Syrah_12";1,809682667;"Syrah_12";"4"
"Vidoc_01";0,966976667;"Vidoc_01";"1"
"Vidoc_02";1,271072333;"Vidoc_02";"1"
"Vidoc_03";1,005637333;"Vidoc_03";"1"
