ID_placette;RU
Coliris_01;59
Floreal_01;59
Floreal_04;59
Lilaro_03;59
Lilaro_04;59
Lilaro_05;59
Lilaro_06;59
RM38;59
RM39;59
RM43;59
RM44;59
RR145;59
RR150;59
RR151;59
RR156;59
RR157;59
RR158;59
Syrah_16;59
Syrah_17;59
Syrah_18;59
Syrah_19;59
Vidoc_04;59
Vidoc_13;59
RM40;63
RR051;63
Coliris_02;64
Grenache_14;64
RR001;64
Syrah_20;64
Coliris_03;66
Floreal_12;66
Grenache_12;66
Grenache_13;66
Muscaris_06;66
RM34;66
RM35;66
RM41;66
RM42;66
RR002;66
RR050;66
RR105;66
RR106;66
RR140;66
RR141;66
RR148;66
RR154;66
RR155;66
Syrah_21;66
Syrah_22;66
Vidoc_08;66
Vidoc_12;66
Floreal_13;67
MuscatPG_10;67
Coliris_04;68
RR102;70
Syrah_23;70
Floreal_08;71
Muscaris_07;71
Coliris_05;73
RR149;73
Syrah_24;73
Floreal_03;75
RR014;75
RR015;75
RR038;75
Syrah_13;75
Syrah_14;75
RR147;75
RM33;76
Grenache_23;77
Opalor_04;77
RM08;77
RM09;77
RR138;77
RR139;77
RR169;77
Muscaris_01;78
RR064;79
Grenache_08;80
Grenache_09;80
Grenache_10;80
Grenache_11;80
RR003;80
RR004;80
RR005;80
RR006;80
RR049;80
RR055;80
Vidoc_03;80
RR144;81
RM03;81
RM04;81
RM05;81
RM06;81
RM27;81
RM28;81
RM29;81
RR037;81
RR087;81
RR110;81
RR111;81
RR112;81
RR135;81
RR136;81
RR137;81
RR093;82
RM24;83
Grenache_01;84
RR013;84
RR039;84
Syrah_15;84
RM36;85
RR007;85
RR142;85
RR153;85
RM23;86
Grenache_07;86
RR088;86
RR016;88
RR132;89
RR092;89
RM10;90
RR056;91
RM30;92
RR089;92
RM37;92
RR097;92
RR103;92
RR012;93
RR054;94
RM26;94
RR166;94
Sirano_01;94
Syrah_12;94
RM01;95
RR131;95
RR100;95
RR113;97
RR134;97
RR090;98
RR170;98
RR165;99
RR068;99
RR083;99
RR115;99
RR116;99
MuscatPG_04;101
MuscatPG_05;101
MuscatPG_06;101
RR163;101
RR164;101
Sirano_02;101
Sirano_03;101
Sirano_04;101
MuscatPG_01;101
Opalor_05;101
RR109;101
RR168;101
Vidoc_11;101
Lilaro_02;101
RR065;102
RR058;102
RR040;102
RR082;102
Grenache_17;103
Grenache_18;103
Grenache_19;103
RH01;103
RM13;103
RM14;103
RM19;103
RM20;103
Selenor_03;103
Selenor_04;103
Selenor_05;103
Syrah_07;103
Syrah_08;103
Syrah_09;103
RR052;103
RR146;103
Floreal_11;104
RR036;104
RR095;105
Floreal_05;107
Grenache_02;107
Grenache_03;107
Muscaris_05;107
MuscatPG_02;107
Opalor_06;107
RM25;107
RR010;107
RR011;107
RR041;107
RR042;107
RR043;107
RR061;107
RR062;107
RR063;107
RR091;107
RR107;107
RR108;107
RR167;107
Grenache_16;107
RR020;107
RR021;107
RR017;107
Syrah_11;107
RR057;108
RR094;108
Grenache_22;108
MuscatPG_03;108
Opalor_03;108
Vidoc_07;108
RR032;108
Selenor_02;108
Floreal_09;109
RR048;110
RR019;110
RR033;110
RR072;110
RR060;111
Vidoc_01;111
RR059;111
RR071;112
RR081;112
RR086;112
RR035;112
RR069;112
RH05;113
RM32;113
RR159;113
RR046;113
RR080;113
Vidoc_05;113
Grenache_04;114
Grenache_05;114
Grenache_06;114
RR008;114
RR009;114
RR044;114
RR045;114
RR053;115
RR096;115
RR098;115
RR099;115
RR101;115
RR104;115
RR143;115
RR152;115
RR018;115
MuscatPG_07;116
Sirano_05;116
RM21;117
RR034;117
RR162;117
Floreal_07;117
RR119;118
RR066;120
RR085;120
RR114;120
RR133;120
RR031;120
RR070;120
RR079;120
RR120;120
RR121;120
RR127;120
RR171;120
Syrah_10;120
RR047;121
Lilaro_01;122
MuscatPG_08;122
MuscatPG_09;122
RM02;122
RM11;122
RM31;122
RR160;122
RR161;122
Sirano_06;122
RR117;123
Muscaris_02;123
RH02;127
RR130;128
Opalor_01;128
Grenache_21;129
RR128;130
RM22;131
Grenache_20;134
Opalor_02;135
RR067;137
RR084;137
Vidoc_09;137
RM12;137
RR022;137
RR118;137
RR129;137
Floreal_14;139
RR078;140
RR126;140
RR023;141
Syrah_05;146
RR030;147
Syrah_06;153
Grenache_15;155
Selenor_01;155
RH03;180
RH04;180
RR073;180
Floreal_02;183
Floreal_06;183
Floreal_10;183
Floreal_15;183
Grenache_Tete;183
Muscaris_03;183
Muscaris_04;183
RM15;183
RM16;183
RM17;183
RM18;183
RR024;183
RR025;183
RR026;183
RR027;183
RR028;183
RR029;183
RR074;183
RR075;183
RR076;183
RR077;183
RR122;183
RR123;183
RR124;183
RR125;183
Selenor_Tete;183
Syrah_01;183
Syrah_02;183
Syrah_03;183
Syrah_04;183
Vidoc_02;183
Vidoc_06;183
Vidoc_10;183
