ID_placette;Coulure;Millerandage
Floreal_01;7;9
Floreal_02;5;9
Floreal_03;8;9
Grenache_02;6;9
Grenache_06;7;9
Grenache_08;7;9
RR001;8;8
RR002;6;9
RR003;8;9
RR004;6;9
RR005;9;9
RR006;7;9
RR007;4;9
RR008;8;9
RR009;8;9
RR010;7;9
RR011;6;9
RR012;9;9
RR013;7;9
RR014;8;9
RR015;9;9
RR016;8;9
RR017;8;9
RR018;9;9
RR019;8;9
RR020;9;9
RR021;7;9
RR022;9;9
RR023;7;9
RR024;9;9
RR025;7;9
RR026;7;9
RR027;9;8
RR028;8;8
RR029;6;9
RR030;9;8
RR031;9;9
RR032;7;9
RR033;6;8
RR034;7;8
RR035;6;9
RR036;8;9
RR037;8;9
RR038;8;8
RR039;7;9
RR040;9;9
RR041;7;9
RR042;8;7
RR043;7;9
RR044;8;9
RR045;9;9
RR046;8;9
RR047;9;9
RR048;7;9
Syrah_08;8;9
Syrah_11;8;9
Syrah_14;9;9
Vidoc_01;7;9
Vidoc_02;9;9
Vidoc_03;9;9
;;
