ID_placette;Defoliation_juillet;Defoliation_aout;Defoliation_aout23_QT
Syrah_14;20;30;3
Grenache_05;15;20;2
Floreal_02;0;20;2
RR026;0;5;1
RR025;10;10;1
RR024;0;5;1
RR023;0;10;1
RR022;20;25;3
RR021;30;30;3
RR020;25;25;3
RR019;10;30;3
RR018;20;40;4
RR017;25;50;5
RR016;30;45;5
RR015;25;40;4
RR014;40;35;4
RR013;30;40;4
RR012;40;30;3
RR011;40;35;4
RR010;40;50;5
Vidoc_01;40;50;5
RR009;20;25;3
RR008;30;35;4
RR007;10;25;3
RR006;25;20;2
RR005;30;25;3
RR004;20;30;3
RR003;20;20;2
RR002;15;25;3
RR001;10;20;2
Floreal_01;20;50;5
Vidoc_02;10;15;1
RR027;0;10;1
RR028;0;15;1
RR029;0;15;1
RR030;10;20;2
RR031;25;45;5
RR032;20;30;3
RR033;15;35;4
RR034;10;20;2
RR035;25;30;3
RR036;25;30;3
RR037;20;30;3
Floreal_03;20;50;5
RR038;25;25;3
RR039;25;50;5
RR040;25;25;3
RR041;30;40;4
RR042;15;35;4
RR043;20;60;5
RR044;50;75;5
RR045;20;35;4
RR046;20;45;5
RR047;40;60;5
RR048;0;40;4
Vidoc_03;0;35;4
