ID_placette;Regonflement2023
Grenache_05;non
Syrah_14;oui
Floreal_01;non
Floreal_02;oui
Floreal_03;non
RR001;vendange trop précoce, on ne peut pas dire
RR002;oui
RR003;oui
RR004;oui, légèrement
RR005;non
RR006;oui, légèrement
RR007;pas de raisin, on ne peut pas dire
RR008;non
RR009;oui
RR010;non
RR011;non
RR012;oui
RR013;oui
RR014;vendange trop précoce, on ne peut pas dire
RR015;non
RR016;oui
RR017;non
RR018;oui, légèrement
RR019;non
RR020;non
RR021;oui, légèrement
RR022;oui, légèrement
RR023;difficile à dire
RR024;vendange trop précoce, on ne peut pas dire
RR025;vendange trop précoce, on ne peut pas dire
RR026;oui
RR027;non
RR028;oui
RR029;non, flétrissement brutal
RR030;vendange trop précoce, on ne peut pas dire
RR031;non
RR032;non
RR033;oui
RR034;oui
RR035;vendange trop précoce, on ne peut pas dire
RR036;vendange trop précoce, on ne peut pas dire
RR037;oui, légèrement
RR038;oui
RR039;non, flétrissement brutal
RR040;oui
RR041;non
RR042;non
RR043;oui
RR044;non
RR045;non
RR046;oui
RR047;oui
RR048;oui
Vidoc_01;oui
Vidoc_02;non
Vidoc_03;oui
