ID_placette;pct_defoliation;pct_grappes_exposées;LP_EC
Coliris_01;;;
Coliris_02;;;
Coliris_03;;;
Coliris_04;;;
Coliris_05;;;
Floreal_01;25;30;LP
Floreal_02;20;20;LP+
Floreal_03;30;25;
Floreal_04;30;80;
Floreal_05;25;70;
Floreal_06;15;35;
Floreal_07;30;90;
Floreal_08;40;60;
Floreal_09;25;50;
Floreal_10;20;20;
Floreal_11;30;75;
Floreal_12;40;70;
Floreal_13;45;90;
Floreal_14;;;
Grenache_01;;;
Grenache_02;;;
Grenache_03;;;
Grenache_04;;;
Grenache_05;30;75;NON
Grenache_06;;;
Grenache_07;;;
Grenache_08;10;20;EC
Grenache_09;;;
Grenache_10;;;
Grenache_11;;;
Grenache_12;;;
Grenache_13;;;
Grenache_14;;;
Grenache_15;;;
Grenache_16;;;
Grenache_17;;;
Grenache_18;;;
Grenache_19;;;
Grenache_20;;;
Grenache_21;;;
Grenache_22;;;
Grenache_23;;;
Grenache_Tete;;;
Lilaro_01;;;
Lilaro_02;;;
Lilaro_03;;;
Lilaro_04;;;
Lilaro_05;;;
Lilaro_06;;;
Muscaris_01;15;5;
Muscaris_02;15;10;
Muscaris_03;10;10;
Muscaris_04;10;10;
Muscaris_05;20;15;
Muscaris_06;25;15;
Muscaris_07;;;
MuscatPG_01;;;
MuscatPG_02;;;
MuscatPG_03;;;
MuscatPG_04;;;
MuscatPG_05;;;
MuscatPG_06;;;
MuscatPG_07;;;
MuscatPG_08;;;
MuscatPG_09;;;
MuscatPG_10;;;
Opalor_01;;;
Opalor_02;;;
Opalor_03;;;
Opalor_04;;;
Opalor_05;;;
Opalor_06;;;
RH01;;;
RH02;;;
RH03;;;
RH04;;;
RH05;;;
RH05;;;
RM01;;;
RM02;10;20;
RM03;20;50;
RM04;30;100;
RM05;25;100;
RM06;15;50;
RM08;20;40;
RM09;;;
RM10;15;25;
RM11;15;20;
RM12;;;
RM13;25;60;
RM14;5;35;
RM15;5;10;
RM16;10;20;
RM17;15;20;
RM18;5;10;
RM19;25;50;
RM20;20;60;
RM21;;;
RM22;;;
RM23;5;20;
RM24;25;60;
RM25;30;50;
RM26;;;
RM27;20;60;
RM28;25;70;
RM29;20;70;
RM30;25;60;
RM31;20;60;
RM32;5;25;
RM33;25;70;
RM34;20;60;
RM35;;;
RM36;20;15;
RM37;30;70;
RM38;20;40;
RM39;30;20;
RM40;;;
RM41;;;
RM42;;;
RM43;;;
RM44;;;
RR001;;;
RR002;15;15;EC
RR003;20;30;NON
RR004;15;10;EC/LP
RR005;20;30;NON
RR006;25;10;EC
RR007;;;
RR008;25;30;NON
RR009;30;0;EC+
RR010;35;15;EC
RR011;;;
RR012;20;50;NON
RR013;10;20;NON
RR014;;;
RR015;25;50;NON
RR016;10;10;EC
RR017;30;30;EC
RR018;15;15;EC/LP
RR019;40;5;EC+
RR020;20;5;EC
RR021;10;15;NON
RR022;35;70;NON
RR023;5;10;LP
RR024;10;5;LP
RR025;15;5;EC
RR026;5;5;LP
RR027;10;0;
RR028;5;10;
RR029;5;0;
RR030;15;25;
RR031;15;30;
RR032;;;
RR033;;;
RR034;20;25;
RR035;15;30;
RR036;;;
RR037;30;25;
RR038;35;35;
RR039;20;15;
RR040;15;10;
RR041;10;20;
RR042;20;5;
RR043;;;
RR044;;;
RR045;10;5;
RR046;15;10;
RR047;;;
RR048;25;25;
RR049;20;25;
RR050;25;60;
RR051;35;50;
RR052;25;35;
RR053;25;60;
RR054;;;
RR055;10;30;
RR056;10;30;
RR057;15;35;
RR058;20;50;
RR059;10;50;
RR060;15;35;
RR061;25;60;
RR061_Tete;;;
RR062;30;60;
RR063;10;30;
RR064;20;60;
RR065;10;25;
RR066;15;35;
RR067;20;65;
RR068;25;90;
RR069;;;
RR070;20;40;
RR071;20;80;
RR072;25;65;
RR073;20;70;
RR074;10;50;
RR075;10;40;
RR076;20;80;
RR077;10;25;
RR078;;;
RR079;25;80;
RR080;25;70;
RR081;15;50;
RR082;30;80;
RR083;10;65;
RR084;35;70;
RR085;25;80;
RR086;25;50;
RR087;10;50;
RR088;;;
RR089;10;25;
RR090;20;50;
RR091;15;20;
RR092;5;20;
RR093;10;20;
RR094;15;60;
RR095;10;25;
RR096;15;20;
RR097;20;30;
RR098;20;50;
RR099;25;30;
RR100;30;30;
RR101;25;40;
RR102;10;30;
RR103;15;50;
RR104;10;50;
RR105;20;75;
RR106;25;50;
RR107;10;10;
RR108;10;20;
RR109;15;30;
RR110;25;80;
RR111;25;80;
RR112;15;50;
RR113;20;50;
RR114;;;
RR115;15;70;
RR116;20;50;
RR117;20;60;
RR118;30;90;
RR119;10;50;
