Génotype;Necroses_QT;Necroses_QT_explications;Type nécroses;BR;Fructifications;Autres
Floreal_01;1;moins de 1%;petits points noirs;;;
Floreal_02;1;moins de 1%;petits points noirs;;;cv
Floreal_03;1;moins de 1%;petits points noirs;;;
RR001;3;de 3 à 5%;petits points noirs;;OUI !;
RR002;2;de 1 à 3%;petits points noirs;;;cv
RR003;2;de 1 à 3%;petits points noirs;;;
RR004;2;de 1 à 3%;petits points noirs;BR+;;
RR005;2;de 1 à 3%;petits points noirs;;;
RR006;1;moins de 1%;petits points noirs;;;cv
RR007;1;moins de 1%;petits points noirs;;;
RR008;1;moins de 1%;petits points noirs;;;
RR009;1;moins de 1%;petits points noirs;;;
RR010;1;moins de 1%;petits points noirs;;;
RR011;1;moins de 1%;petits points noirs;BR;;
RR012;1;moins de 1%;petits points noirs;;;
RR013;2;de 1 à 3%;petits points noirs;;;
RR014;2;de 1 à 3%;petits points noirs;;;
RR015;1;moins de 1%;petits points noirs;;;
RR016;1;moins de 1%;petits points noirs;;;
RR017;1;moins de 1%;petits points noirs;;;
RR018;2;de 1 à 3%;petits points noirs;;;
RR019;2;de 1 à 3%;petits points noirs;;;
RR020;1;moins de 1%;petits points noirs;;;
RR021;1;moins de 1%;petits points noirs;;;
RR022;2;de 1 à 3%;petits points noirs;;;
RR023;4;de 5 à 10%;gros points à liseré;;;cv
RR024;2;de 1 à 3%;petits points noirs;;;cv
RR025;2;de 1 à 3%;petits points noirs;;;cv
RR026;3;de 3 à 5%;gros points à liseré;;;cv
RR027;1;moins de 1%;petits points noirs;;;cv
RR028;2;de 1 à 3%;gros points à liseré;;;cv
RR029;2;de 1 à 3%;petits points noirs;;;cv
RR030;3;de 3 à 5%;gros points à liseré;;;cv
RR031;2;de 1 à 3%;petits points noirs;;;
RR032;1;moins de 1%;petits points noirs;;;cv
RR033;1;moins de 1%;petits points noirs;;;cv
RR034;1;moins de 1%;petits points noirs;;;cv
RR035;2;de 1 à 3%;petits points noirs;;;cv
RR036;2;de 1 à 3%;petits points noirs;;;
RR037;1;moins de 1%;petits points noirs;;;
RR038;1;moins de 1%;petits points noirs;;;
RR039;1;moins de 1%;petits points noirs;;;
RR040;1;moins de 1%;gros points noirs;;;
RR041;1;moins de 1%;petits points noirs;;;
RR042;1;moins de 1%;petits points noirs;;;
RR043;1;moins de 1%;gros points noirs;;;
RR044;3;de 3 à 5%;gros points noirs;;;
RR045;1;moins de 1%;gros points à liseré;;;
RR046;1;moins de 1%;petits points noirs;;;
RR047;1;moins de 1%;petits points noirs;;;
RR048;1;moins de 1%;gros points noirs;;;
Vidoc_01;1;moins de 1%;petits points noirs;;;
Vidoc_02;1;moins de 1%;petits points noirs;BR+;;cv
Vidoc_03;2;de 1 à 3%;petits points noirs;;;
;;;;;;
