ID_geno;ID_placette;ID_modalite2023;IntensiteGlobale;Frequence;Necroses_QT;Necroses_QT_explications;BR;Fructifications;LocalisationPréférentiellesNecroses;Type nécroses;Autres
Floreal;Floreal_03;;0,1;30;1;moins de 1%;;;limbe;petits points noirs;cv
Floreal;Floreal_08;;0,1;25;1;moins de 1%;;;limbe;petits points noirs;
RM23;RM23;;0,1;50;1;moins de 1%;;;limbe;petits points noirs;
RR020;RR020;;0,1;25;1;moins de 1%;;;limbe;petits points noirs;cv
RR032;RR032;;0,1;70;1;moins de 1%;BR;;limbe;petits points noirs;
RR033;RR033;;0,1;70;1;moins de 1%;;;limbe;petits points noirs;
RR043;RR043;;0,1;30;1;moins de 1%;;;limbe;petits points noirs;
RR058;RR058;;0,1;70;1;moins de 1%;BR;;limbe;petits points noirs;
RR059;RR059;;0,1;70;1;moins de 1%;;;limbe;petits points noirs;
RR061;RR061;;0,1;30;1;moins de 1%;;;limbe;petits points noirs;
RR062;RR062;;0,1;20;1;moins de 1%;;;limbe;petits points noirs;
RR086;RR086;;0,1;80;1;moins de 1%;;;limbe;petits points noirs;
RR132;RR132;;0,1;70;1;moins de 1%;BR;;limbe;petits points noirs;
RR156;RR156;;0,1;60;1;moins de 1%;;;limbe;petits points noirs;cv
RR169;RR169;;0,1;50;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_01;;1;20;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_02;;1;30;1;moins de 1%;;;limbe;petits points noirs;cv
Floreal;Floreal_04;;1;30;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_11;;1;25;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_12;;1;30;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_13;;1;30;1;moins de 1%;;;limbe;petits points noirs;
Floreal;Floreal_14;;1;20;1;moins de 1%;BR++;;limbe;petits points noirs;
Floreal;Floreal_15;;1;30;1;moins de 1%;;;limbe;petits points noirs;
Muscaris;Muscaris_05;;1;80;1;moins de 1%;;;limbe;petits points noirs;
RM24;RM24;;1;80;1;moins de 1%;BR;;limbe;petits points noirs;
RR004;RR004;;1;30;1;moins de 1%;BR+;;limbe;petits points noirs;
RR006;RR006;;1;80;1;moins de 1%;;;nervures;petits points noirs;
RR011;RR011;;1;80;1;moins de 1%;BR;;limbe;petits points noirs;
RR021;RR021;;1;25;1;moins de 1%;BR;;limbe;petits points noirs;
RR034;RR034;;1;80;1;moins de 1%;;;limbe;petits points noirs;
RR035;RR035;;1;60;1;moins de 1%;;;limbe;petits points noirs;
RR037;RR037;;1;80;1;moins de 1%;;;limbe;petits points noirs;
RR047;RR047;;1;80;1;moins de 1%;;;limbe;gros points noirs;
RR050;RR050;;1;90;1;moins de 1%;;;limbe;petits points noirs;
RR069;RR069;;1;100;1;moins de 1%;;;limbe;petits points noirs;
RR077;RR077;;1;80;1;moins de 1%;BR_bloqué;;nervures;petits points noirs;
RR081;RR081;;1;80;1;moins de 1%;;;limbe;petits points noirs;
RR084;RR084;;1;90;1;moins de 1%;;;limbe;taches ovales allongées;
RR089;RR089;;1;100;1;moins de 1%;BR++;;limbe;petits points noirs;acariose ?
RR095;RR095;;1;60;1;moins de 1%;;;limbe;petits points noirs;
RR101;RR101;;1;90;1;moins de 1%;;;limbe;petits points noirs;
RR103;RR103;;1;100;1;moins de 1%;;;nervures;petits points noirs;
RR107;RR107;;1;100;1;moins de 1%;;;limbe;taches ovales allongées;
RR112;RR112;;1;100;1;moins de 1%;;;limbe;petits points noirs;
RR113;RR113;;1;100;1;moins de 1%;;;limbe;petits points noirs;
RR116;RR116;;1;80;1;moins de 1%;;;limbe;petits points noirs;
RR125;RR125;;1;100;1;moins de 1%;BR+;;limbe;petits points noirs;
RR129;RR129;;1;100;1;moins de 1%;;;limbe;petits points noirs;
